source,target,weight,distance,source_name,target_name
2113829116,41203992,1,1.0,Junjie Bai,Alykhan Tejani
2127604,41203992,1,1.0,Soumith Chintala,Alykhan Tejani
22236100,32163737,1,1.0,Sasank Chilamkurthy,Benoit Steiner
152599430,22236100,1,1.0,Lu Fang,Sasank Chilamkurthy
2113829116,22236100,1,1.0,Junjie Bai,Sasank Chilamkurthy
2127604,22236100,1,1.0,Soumith Chintala,Sasank Chilamkurthy
152599430,32163737,1,1.0,Lu Fang,Benoit Steiner
2113829116,32163737,1,1.0,Junjie Bai,Benoit Steiner
2127604,32163737,1,1.0,Soumith Chintala,Benoit Steiner
152599430,2113829116,1,1.0,Lu Fang,Junjie Bai
152599430,2127604,1,1.0,Lu Fang,Soumith Chintala
2113829116,2127604,1,1.0,Junjie Bai,Soumith Chintala
51433108,7886986,1,1.0,P. Jaeger,Fabian Isensee
51011129,7886986,1,1.0,Simon A. A. Kohl,Fabian Isensee
152800798,7886986,1,1.0,Jens Petersen,Fabian Isensee
1397951928,7886986,1,1.0,Klaus Hermann Maier-Hein,Fabian Isensee
51011129,51433108,1,1.0,Simon A. A. Kohl,P. Jaeger
152800798,51433108,1,1.0,Jens Petersen,P. Jaeger
1397951928,51433108,1,1.0,Klaus Hermann Maier-Hein,P. Jaeger
152800798,51011129,1,1.0,Jens Petersen,Simon A. A. Kohl
1397951928,51011129,1,1.0,Klaus Hermann Maier-Hein,Simon A. A. Kohl
1397951928,152800798,1,1.0,Klaus Hermann Maier-Hein,Jens Petersen
1754598,2281247548,1,1.0,Jinglan Zhang,Laith Alzubaidi
2073994643,2281247548,1,1.0,A. Humaidi,Laith Alzubaidi
1409267833,2281247548,1,1.0,Ayad Al-dujaili,Laith Alzubaidi
145013346,2281247548,1,1.0,Y. Duan,Laith Alzubaidi
1410016448,2281247548,1,1.0,O. Al-Shamma,Laith Alzubaidi
2146732191,2281247548,1,1.0,José I. Santamaría,Laith Alzubaidi
1412407676,2281247548,1,1.0,M. Fadhel,Laith Alzubaidi
1412958882,2281247548,1,1.0,Muthana Al-Amidie,Laith Alzubaidi
144121680,2281247548,1,1.0,Laith Farhan,Laith Alzubaidi
1754598,2073994643,1,1.0,Jinglan Zhang,A. Humaidi
